Baseline:350
Kinetic read 1 (0:00.00)
	1	2	3
B	0.079	0.079	0.078	Baseline:350 Read#1

Baseline:350

Kinetic read	B1	B2	B3
5:57.67	0.082	0.083	0.082
5:58.29	0.082	0.083	0.082
5:58.91	0.082	0.083	0.082
5:59.53	0.082	0.083	0.082
6:00.15	0.082	0.083	0.083
6:00.77	0.082	0.083	0.083
6:01.39	0.082	0.083	0.082
6:02.01	0.082	0.083	0.083
6:02.63	0.082	0.083	0.083
6:03.25	0.082	0.083	0.083
6:03.87	0.082	0.083	0.083
6:04.49	0.082	0.083	0.083
6:05.11	0.082	0.083	0.083
6:05.73	0.082	0.083	0.083
6:06.35	0.082	0.084	0.083
6:06.97	0.082	0.084	0.083
6:07.59	0.082	0.084	0.083
6:08.21	0.082	0.084	0.083
6:08.83	0.082	0.084	0.083
6:09.45	0.082	0.084	0.083
6:10.07	0.082	0.084	0.083
6:10.69	0.082	0.084	0.083
6:11.31	0.082	0.084	0.083
6:11.93	0.082	0.084	0.083
6:12.55	0.082	0.084	0.083
6:13.17	0.082	0.084	0.083
6:13.79	0.082	0.084	0.083
6:14.41	0.082	0.084	0.083
6:15.03	0.082	0.084	0.083
6:15.65	0.082	0.084	0.083
6:16.27	0.082	0.084	0.083
6:16.89	0.082	0.084	0.083
6:17.51	0.082	0.084	0.083
6:18.13	0.082	0.084	0.083
6:18.75	0.082	0.084	0.084
6:19.37	0.082	0.084	0.084
6:19.99	0.082	0.084	0.084
6:20.61	0.082	0.084	0.084
6:21.23	0.082	0.084	0.084
6:21.85	0.082	0.084	0.084
6:22.47	0.082	0.084	0.084
6:23.09	0.082	0.084	0.084
6:23.71	0.083	0.084	0.084
6:24.33	0.082	0.084	0.084
6:24.95	0.082	0.084	0.084
6:25.57	0.083	0.084	0.084
6:26.19	0.083	0.084	0.084
6:26.81	0.082	0.084	0.084
6:27.43	0.083	0.084	0.084
6:28.05	0.083	0.084	0.084
6:28.67	0.083	0.084	0.084
6:29.29	0.083	0.084	0.084
6:29.91	0.083	0.084	0.084
6:30.53	0.083	0.085	0.084
6:31.15	0.083	0.085	0.084
6:31.77	0.083	0.085	0.084
6:32.39	0.083	0.085	0.084
6:33.01	0.083	0.085	0.084
6:33.63	0.083	0.085	0.084
6:34.25	0.083	0.085	0.084
6:34.87	0.083	0.085	0.084
6:35.49	0.083	0.085	0.084
6:36.11	0.083	0.085	0.084
6:36.73	0.083	0.085	0.085
6:37.35	0.083	0.085	0.085
6:37.97	0.083	0.085	0.085
6:38.59	0.083	0.085	0.085
6:39.21	0.083	0.085	0.085
6:39.83	0.083	0.085	0.085
6:40.45	0.083	0.085	0.085
6:41.07	0.083	0.085	0.085
6:41.69	0.083	0.085	0.085
6:42.31	0.083	0.085	0.085
6:42.93	0.083	0.085	0.085
6:43.55	0.083	0.085	0.085
6:44.17	0.083	0.085	0.085
6:44.79	0.083	0.085	0.085
6:45.41	0.083	0.085	0.085
6:46.03	0.083	0.085	0.085
6:46.65	0.083	0.085	0.085
6:47.27	0.083	0.085	0.085
6:47.89	0.083	0.085	0.085
6:48.51	0.083	0.085	0.085
6:49.13	0.083	0.085	0.085
6:49.75	0.083	0.085	0.085
6:50.37	0.083	0.085	0.085
6:50.99	0.083	0.085	0.085
6:51.61	0.083	0.085	0.085
6:52.23	0.083	0.085	0.086
6:52.85	0.083	0.085	0.086
6:53.47	0.083	0.085	0.086
